label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
w,0.615880490642,0.519070195953,-0.459098684629,-0.392104844909,0.444625389204,0.556783727129,-0.268484721027,0.560641915213,0.46637901711,-0.499379467577,-0.166887707067,0.344011036128,-0.25330686669,-0.166841472118,0.276543032028,0.129381883434,0.618430095467,0.516448675819,0.516073361733,0.436186954193,0.611742926417,-0.351402621665,-0.596888435812,0.563889361805,0.0398592249076,0.235565312765,-0.106863861475,0.322340425546,0.508207625058,0.0386192663039
ih,0.483462021176,-0.142275706293,0.490176853951,-0.471061464959,-0.42048675531,-0.0330374929347,0.120070509997,0.27630003206,-0.437680158663,0.614568573108,0.534818283621,0.696659107286,-0.257220338489,0.447082365992,0.641979827287,0.583310872438,-0.483222226928,-0.622642339357,0.517737027795,-0.537759622988,0.197125977083,0.646374251576,0.505673762494,-0.651157185933,-0.518524266906,0.486201616472,0.0196511196462,-0.45895604671,-0.0260431760925,0.63152177366
ch,-0.0245016389795,-0.277153675761,-0.0502848986277,0.104039090101,0.563941454574,-0.317405514782,-0.14626816045,0.545875762884,0.457113569679,-0.45603401501,0.0030897645298,-0.17660666675,0.299656680335,0.444867606265,-0.376928572715,0.0708335408921,0.208434302882,-0.0758947199223,-0.275267103771,-0.0262360287852,0.228356158412,0.162686841682,-0.384692857984,0.258708098132,0.330121434981,0.142387681762,-0.352160697984,0.482616624039,0.359673765533,-0.137977361922
ey,0.510840109198,0.194995969651,0.676818210621,-0.432348602972,-0.362543600042,0.0660184657777,-0.235212342145,0.253965823924,-0.585257514777,0.471962831366,-0.00563483699326,0.449780437393,0.573729513352,-0.536639478851,-0.369831713885,0.672298341026,0.327059463332,-0.631593210595,0.117529664522,-0.524323591261,-0.420477051794,0.566128762435,0.0778244910402,-0.450479436281,0.0809627555932,0.519537079786,0.538458404943,-0.0988336225689,0.35013945755,0.103542613394
aw,0.0437178989193,-0.42745047889,0.638570398081,-0.484433742904,0.320279621459,0.427756732044,-0.248722171895,0.474909397108,0.0619847189277,0.362966500336,-0.436103468503,0.64308311,-0.514516014274,0.209213324362,0.100817266825,0.0713641584915,0.354927888698,-0.365086649149,-0.366499129855,-0.664454202967,0.395952274485,0.419132548106,0.21563824101,-0.152438676466,0.0236988571055,-0.299358831471,0.509945218955,-0.264304856497,0.299971611354,0.35662263455
ay,0.58283027911,0.563070165715,0.619177123245,-0.614293405734,0.516833853426,0.49910205113,-0.490511693989,0.615863058358,-0.42475537951,0.524324957425,-0.388154959541,-0.358965935082,0.432999941873,-0.611263521284,0.427747087441,-0.245451812667,-0.552594114515,-0.355003683474,0.334796210076,-0.527643501285,-0.422015157043,0.408308408154,-0.352216682261,-0.417148436527,-0.526937882016,-0.560302130887,0.271831291179,-0.211515489087,0.619805341071,0.617734840121
zh,-0.287363350678,-0.0464606189656,0.103632367018,0.0365224399349,0.281705968228,-0.138024875533,-0.167911804704,0.131420284841,-0.0387075271535,-0.347421031634,0.053625273294,0.112467879949,0.335977368499,0.113503734441,-0.0396614774697,-0.0441607466192,0.0929578099301,0.238962758513,-0.0306302678073,-0.0929726039485,0.115519255286,0.122487961776,-0.153690774402,-0.00528062400196,0.22912330576,0.0366668652126,-0.128548335018,0.0373317577002,0.117589801964,0.0402963481491
tq,-0.527130904771,-0.451133430947,-0.352998032672,0.601768024941,0.556113170409,-0.592228188385,0.384297363706,-0.452765623447,-0.336942898883,0.246788443707,-0.297074500904,-0.41751207899,0.470661842386,0.249651801792,0.242901793865,-0.440352210575,-0.0765225981314,-0.261261260718,-0.509614408396,-0.647821764791,0.230904526011,0.0172018449631,0.319213251976,-0.291680255769,0.46577509549,-0.525904923788,-0.306283746881,-0.0354984152137,-0.179959773886,-0.235638097243
er,0.529705662312,0.418696987095,-0.334482164511,-0.0434853375405,-0.0125002487417,-0.396121657735,-0.170705719063,-0.347011026448,0.176795004701,0.617257312981,0.365682291712,0.370339309445,-0.355377011274,-0.480241296362,-0.36524686164,0.518494402558,-0.437295606687,-0.535718531598,-0.267057083439,-0.287987935103,-0.253312397457,0.131776115614,0.307755001395,0.105129623988,-0.247914478411,-0.107184299991,0.586284990609,0.0198319925012,-0.215038728956,0.46851183302
#,-0.639010765624,-0.588189909952,-0.479902734564,-0.578112872424,0.0167256164455,-0.214918649017,0.488263641005,-0.53519118636,0.566288519788,-0.707266325982,-0.566262935181,-0.348618866765,0.346774939819,0.488520357771,0.504493913313,0.670529275552,0.470896023509,-0.750204704386,0.528122868791,0.538768830492,-0.567045056279,-0.644557894953,-0.533973377086,-0.703922780145,-0.521619245637,0.406314145922,0.628985751132,-0.46142604909,-0.65274785546,-0.537106837142
ayn,0.0566662195045,0.0527948004835,0.0824669764522,-0.108066813468,0.0950820525043,-0.00361259212213,-0.158086051009,0.194188864886,-0.042763074097,0.0786248715165,-0.0274150983048,0.0829126179298,-0.0122809020542,-0.00103108066067,-0.0114527399154,0.116906490516,-0.0116536114714,-0.0872316497228,0.0219807281979,-0.160905201779,0.0224407657227,0.209413328742,-0.0388842289782,-0.141103658804,-0.0321668680343,-0.036195703908,0.113792800663,0.067915851994,0.138420336364,0.120206080412
eng,-0.0213897452096,0.0617865486751,0.043609943471,-0.0635208216464,0.0988009815388,-0.077716935665,-0.160184862608,0.143595781811,-0.0366907212575,-0.0149371420783,0.0471211432149,0.0507929164673,0.00752922192936,-0.0266178123451,-0.0683461386459,0.0742009466013,-0.025349022804,-0.0938166642663,-0.0420676722651,-0.173488569463,0.0911807235122,0.193385441079,0.0372019004817,-0.170062793464,-0.0106977949395,-0.00037324050132,-0.0196833972867,0.0602460758374,0.0997956914824,0.0293145356918
aan,0.109062791418,0.029438823022,0.167912182503,-0.00712525011275,0.0934621339194,0.0653932615219,-0.160663409162,0.155231126451,-0.0286365825489,0.151641023332,0.053887323109,0.0607380433246,-0.106238473819,0.0157118637728,-0.0950506148741,0.121457079895,0.068965758306,-0.17414183946,0.0336305869567,-0.158521576259,-0.102989797719,0.233794128419,0.078330056524,-0.120424946795,-0.106483675585,0.0444063061045,0.10687471266,0.107946401479,0.154509254957,0.228287422665
eyn,0.0881473195553,0.0107808144177,0.144702468299,-0.0995923845355,0.0334985488562,0.0395939772831,-0.1395353573,0.201786958779,-0.0285266666058,0.038145834382,0.0312990257474,0.0955795447563,-0.0508262574914,0.0345375733947,0.0073311880763,0.0965408638036,0.0345668322071,-0.131972801649,0.032980218155,-0.184529417923,-0.00816608613851,0.192829724464,0.0127742137836,-0.14733487413,-0.0516719876077,-0.0177576038122,0.0809755381166,0.0453394111106,0.0974127470481,0.123486797818
nx,-0.553725834351,0.545153052146,-0.00939951764259,0.116509353827,-0.229409352754,-0.345058086707,-0.401004679208,-0.457037518883,0.347248222307,-0.330712047593,0.249829576443,-0.546164244739,0.213331569576,0.0841152207736,-0.101592662366,-0.448508788148,0.554453772731,0.564462234121,-0.0468448653892,-0.194275941267,0.513761519211,-0.33685331209,-0.0622269829836,0.383530546493,-0.0175789840062,-0.54023034442,-0.526886534681,-0.254075083832,0.272259057117,-0.285876515781
oyn,0.0746363632794,0.0228514542145,0.137305203085,-0.0339677746402,0.0773595643208,0.030325846603,-0.14884867214,0.189412790885,0.00109599633899,0.0329404261349,0.0328237127251,0.0794178243457,-0.109301446004,0.0508695094901,-0.0678557856153,0.0684185761538,0.0828652954102,-0.0610439403374,0.0107543233107,-0.148538199865,-0.0184756224531,0.214400896687,0.0184023215982,-0.128493709947,-0.0335073549554,-0.0549773735102,0.081539741037,0.0587074004396,0.0865575693008,0.104502456118
r,0.585921163988,0.495443092691,-0.498747771246,-0.552474108602,-9.23705385736e-05,-0.524487807923,-0.163517055243,0.27710705628,0.451449245064,0.43978229039,0.390168900587,-0.34944684218,-0.566661205244,-0.0292568625417,-0.576167537655,-0.485405468649,0.50687260616,0.457410742168,0.441199654595,0.51122528063,0.442411069271,0.579378645784,0.501915157954,-0.302088418893,0.575999388455,-0.408499770623,0.57932837787,-0.491042154748,-0.484783741907,-0.279690595061
th,-0.147534335541,0.0272365032244,-0.123783816134,-0.363907487857,0.137806077816,-0.0129800154788,-0.327940372443,0.426705602657,-0.0780228921531,-0.444194661727,0.0809285730531,-0.376213784439,0.341337427473,0.216446387638,-0.326011116456,-0.0314066561914,-0.253628472501,0.467750748371,0.0128182095028,-0.135902634302,-0.113830555152,0.0252989533825,-0.194407282497,0.502377846724,0.0556985995298,-0.0414543097252,-0.297728610647,0.461025388401,0.406505928184,-0.13147899713
t,-0.319757819174,0.433840570465,-0.416605498127,0.467668294492,0.382430080383,-0.335654723534,-0.267040846486,0.426761052579,0.470544294226,0.200332749853,-0.288906643232,-0.152399463042,0.612767436481,0.618683490798,0.414857760554,0.304256831542,0.115808046857,-0.542966509516,-0.341471482098,0.374770451995,-0.45451825005,0.556316061894,-0.137596331582,0.608964540643,0.679862588906,-0.337931457795,-0.586753593832,0.533339182939,0.363941468351,-0.508927321162
ehn,0.124726319359,-0.0049963474404,0.321891684586,-0.069525126791,0.00991067804926,0.00589413669137,-0.200345591415,0.158726953771,-0.088311848695,0.131430077713,0.0184377500137,0.104141821772,-0.135189417404,-0.0785283089009,-0.131563913995,0.0251370158867,0.0677205429052,-0.228229710205,0.0462320237218,-0.33655628515,-0.0725292504469,0.152025262728,0.122247183234,-0.0902404166044,-0.101386386116,0.0106114788444,0.0812769446647,0.115706478512,0.118286507753,0.168467775433
<,-0.210427202017,-0.185543971184,-0.0944247117371,0.0952187090567,0.0182609604515,0.170839006533,0.0623927773455,-0.0735505443817,0.247141431175,-0.324938009567,0.11972448825,0.0988602830563,-0.0632531836725,-0.00360383291692,-0.105266481543,0.229727533537,0.282268447047,-0.207166737986,0.152010546366,-0.122232158186,0.0898775904567,-0.172260450334,0.00864410818682,-0.105152073545,0.124764510843,-0.0550998604669,0.194963719519,0.0158394068022,-0.287894685309,0.0669533574286
>,-0.0439154834453,-0.274510271074,0.00116678536658,0.0557679759434,0.00641199261871,0.176524447835,0.00470321101593,-0.0131444072009,0.119972328445,-0.358609513703,0.0374220888413,0.138622578833,-0.0200583651624,0.0964439467253,-0.106990951212,0.200534662753,0.315758912642,-0.142749129149,0.241858322884,-0.043718569451,0.208575191332,-0.103122640081,-0.132162388034,-0.0953823786454,0.0886663501732,0.16529222845,0.127947244641,0.111589298427,-0.260084725746,0.137299710971
ng,-0.500268313653,0.496630291598,-0.300704050588,-0.213702660229,0.257373568325,-0.4146277622,-0.247350281913,0.341990259108,-0.536085039601,-0.616726634831,0.552010556993,-0.502115426542,0.614066015176,-0.565476251498,-0.483586895459,0.388290361846,-0.496606505278,-0.33058782391,-0.586784499958,0.109489378819,0.566224903965,0.433612270426,0.553345847245,-0.637975540095,-0.440601272019,-0.529403184102,-0.586932868872,-0.448612944381,-0.417666209514,-0.529686396708
