label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
aw,-0.406173611809,-0.70079129033,-0.793925120518,-0.316062400175,0.641811751264,-0.0735982309735,0.752079170339,-0.344116153872,-0.499409862698,-0.577488127222,-0.53203519146,0.265523528605,0.523570491508,0.294702646409,-0.913213562295
ay,0.256747325696,-0.476486007071,0.795897881892,-0.632162698837,0.696725883693,-0.443943786492,0.816153160819,0.0762277635936,0.192942408086,0.446976032885,-0.690744110068,-0.286180005245,0.086197856395,-0.157158113462,-0.334251720878
zh,-0.0407428661634,-0.318868403533,0.344434090668,0.454383396071,0.0769343693875,0.253063192265,-0.116137390792,0.26952687023,0.243855472527,0.218617665039,-0.0273705747354,0.0723289145218,0.248920325887,0.0500106574038,0.401041566235
er,0.607522600244,0.381007088173,-0.536077581504,-0.0731981671275,-0.180579975652,-0.358358431439,-0.0330687215287,-0.693260082367,0.92441603326,-0.400161855971,-0.498651764357,-0.514979310426,-0.0554983764395,-0.793269802171,0.42779069425
#,-0.0459859997149,-0.122037517152,0.0977373389181,0.075583138144,0.0631687729815,0.101190525882,0.0994226236157,0.00192388652985,-0.0131701900126,0.00520502721749,0.0276660494344,0.0361447395973,0.127253149387,0.0477458496001,0.0248076011284
ng,0.806824917695,0.590892081657,0.832519641375,0.808857852416,0.774834360985,0.713677422608,0.58855285141,0.492132084977,0.518840299313,-0.274926043524,0.555950455669,0.654802344593,-0.247840207118,-0.901327099708,0.703640569509
r,-0.856176208395,0.0052797265429,-0.457320429059,0.456940115781,-0.0433908387495,-0.445018768507,0.900382073693,0.107818428221,0.299361427855,0.0730928238721,0.856537586295,0.64397976206,0.665432042645,-0.800510052806,0.653757889175
th,0.623849296593,0.0365692598574,0.443052404263,0.280178399949,0.0257208371382,0.509240176179,-0.426675197752,0.182513444695,-0.73130498827,0.716073221527,0.0914094307351,-0.360837384494,0.0614996156256,0.0672230809146,0.296945715835
t,0.621478040033,0.60774636376,0.521107978926,0.796372359185,-0.841170629267,0.737482777203,0.491982951163,0.522181707108,0.581608699735,0.0606127272678,0.0299491349777,0.214574445798,0.654875270981,0.752577619035,-0.397476424515
<,0.00414980860141,-0.264871543416,0.024428565102,0.217304068686,0.110711127886,0.369964218166,-0.00350882170249,-0.421762546008,0.0373605786816,-0.188790348245,0.087015852308,-0.0546581664753,0.245609995488,-0.230648350857,0.231501282583
>,-0.327876837335,-0.325936661956,0.0800700416624,-0.100708866276,-0.0725931632567,0.256420581817,-0.0369577048193,0.00793443204975,0.00897408471068,-0.168088916873,0.124948748707,-0.0837058671937,0.102636034207,0.0379557514109,0.0499728908412
w,-0.79486651557,-0.492519481172,0.383986124891,0.675096113083,-0.336624980413,-0.346967318154,-0.748168969223,0.779705817407,-0.400791172008,0.556394857544,0.229026402225,-0.535934484108,0.882751528404,0.0337648704155,-0.512427135224
dh,-0.360900276945,0.730362248926,0.424550776744,-0.556568321363,-0.903963625384,-0.547571883568,-0.732627134287,0.708418574012,-0.898042797276,-0.667998768266,0.817378495478,0.71207439797,0.655074091533,-0.487127429118,-0.800297273377
y,-0.59256546611,-0.925495697124,0.323147906035,0.0222921123868,-0.794721678571,0.70505996044,-0.681055550371,-0.752243327189,0.418576917219,-0.492478012596,0.616583107559,0.937377304418,0.89490982204,0.00364672459722,-0.648470191298
