label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
h,0.138541439436,-0.0482383257658,-0.0705915299673,-0.124032791664,0.114281383048,0.256945898692,-0.0219393903853,-0.108776157499,0.25424722157,-0.276349790965,0.0692775786936,0.0386177825107,-0.270593199558,0.180109818198,-0.17472696969,0.000324066259598,0.0925630959372,-0.109479345566,0.0879179715699,-0.231768336538
k,-0.620857382384,-0.601445750081,0.109311575503,-0.347181849457,-0.781956589749,0.737460200863,-0.425526497304,0.142679801815,-0.298174345849,0.789139273478,-0.170522271998,0.919859443073,0.267566346952,0.345842209495,-0.449986444802,-0.287997090457,0.775636056973,0.233842551928,0.572010794747,0.525030249643
m,-0.541654979691,-0.414809359936,-0.689976248541,-0.291388856883,0.429139353151,0.819360466623,-0.62589571412,0.22496692948,-0.30593872999,-0.646215251706,0.425210565817,-0.726107178415,0.615207322993,0.656641895653,0.4186426843,0.607782834793,-0.615456797876,0.391422940017,-0.389618267603,-0.68973326004
l,0.559148914532,-0.430026612986,0.390107232079,-0.43851844886,-0.558445073405,0.44206151185,0.26492927509,-0.464594705306,-0.0469440132545,-0.230386506224,0.598727559553,0.383838435765,0.882948745559,-0.0186567002089,0.880163483494,-0.743385011614,-0.566862643415,0.250331916644,0.188341320983,-0.612933435409
n,0.719177403388,-0.950253739064,0.66070829792,0.550338788514,0.734962004614,-0.67546183978,-0.611632380677,0.694403681337,-0.30948596541,-0.459812855914,0.44947811549,-0.620378548253,0.495377627074,-0.849145111802,-0.88136594535,-0.0891589547234,0.0954615718944,-0.390699684716,-0.197471033226,-0.931491025814
p,-0.28148363763,0.43503673333,-0.339904420933,-0.646452779687,-0.542864858574,0.16274178364,-0.148807823985,-0.300655212895,1.01335118846,0.419065178161,-0.637154481741,-0.450334934703,0.370725983877,0.351113542571,-0.690371673166,-0.30244676098,0.466691934827,-0.256259698574,-0.738760303222,0.446487904725
s,-0.0521211341645,-0.869161308616,-0.873029314708,0.8265506573,-0.403956522305,0.571588267843,-0.680192052411,-0.684706396731,-0.656224037695,-0.267604880149,0.470748880189,0.32484811586,-0.516527903542,-0.0155791487768,-0.406945191585,0.903790539311,-0.583328086319,0.250818198277,0.439938068782,-0.724769453431
sh,-0.118424988919,-0.566243345607,0.585746740753,0.0902888178604,-0.480484004517,0.58194100344,-0.1192224604,-0.182691707072,0.691724922411,-0.7724191396,-0.270281273357,-0.739622800158,0.584350924325,-0.358185697615,0.0653405931093,-0.224872568162,0.443015038002,-0.324258918637,0.456530442478,0.331453783508
uh,-0.668148220999,0.536034123175,0.744708240063,0.286429330902,-0.608717764214,-0.31747741527,-0.094311656351,-0.453282610136,-0.288366030119,-0.323401883616,0.560396043679,0.244433269651,-0.179755203198,-0.577279528613,0.7257056125,0.723445459223,0.732807628863,0.114314748045,0.0667840947132,-0.825305805441
oy,0.35017469301,0.27750053343,-0.0431118947876,-0.155952323952,0.199937071912,-0.286911513195,0.188789093649,-0.191222400864,0.199154202124,-0.206688619176,0.187195723835,-0.237928562749,-0.474419796745,-0.200753266138,0.507780742402,-0.263271260005,-0.100953381108,-0.165164007766,0.0500879423131,-0.355761134652
v,-0.384531170032,0.407816028243,0.59196114644,-0.836564285788,0.867889941033,0.194492089024,-0.524435512273,-0.604270572753,-0.60853715868,-0.373909038264,-0.442070953115,-0.382825501302,0.755443095994,0.202417399936,-0.74923420589,0.00831547867993,-0.117739185744,0.613910989743,-0.609178650087,-0.442260916319
ow,0.268109676461,0.727968425601,0.0655590714854,-0.40025934095,0.616541345861,0.152629643998,-0.477979815271,0.444858175427,0.700292489669,-0.165034513955,0.828941835692,-0.249739564744,-0.317753333285,0.742570501795,0.718786508938,-0.254661417671,0.357193997243,0.641578460985,-0.0477436842644,0.658476317873
z,-0.536814517153,-0.199398628522,0.226251051737,-0.196104781838,0.689091390893,-0.753982420434,-0.411341476149,0.574762978901,0.6782078523,0.26356668457,-0.938149719354,0.351276260076,-0.376352991839,0.730605268174,-0.944780478024,-0.8570180011,-0.569500298426,0.451791328851,-0.126409302906,-0.609981760029
uw,-0.391834087252,-0.164674615304,-0.913162861447,0.666313239039,0.957171032218,0.375355010136,0.566305494751,-0.762950546971,0.886427699356,0.516507383605,0.160328872275,0.627010445768,-0.809574312845,-0.585641297928,0.966654318793,-0.0200586079011,0.141853384308,0.712259843139,-0.510170744804,0.00135869887388
