"(u'ay', u'w')",l,2
"(u'm', u'ae')",ay,2
"(u'er', u'd')",n,1
"(u'r', u'l')",iy,13
"(u'ay', u'aa')",g,4
"(u'ow', u'l')",ay,1
"(u'n', u'n')",uw,1
"(u't', u'w')",ay,3
"(u'z', u'ow')",dh,2
"(u'iy', u'aa')",k,4
"(u'r', u'ih')",ey,1
"(u'd', u'ae')",iy,1
"(u'd', u'd')",ih,12
"(u'z', u'ow')",n,2
"(u'ey', u'eh')",g,1
"(u'ow', u'n')",r,5
"(u's', u'ay')",p,2
"(u'ch', u's')",ah,1
"(u'p', u'n')",ih,4
"(u'ih', u'd')",v,5
"(u'd', u'n')",aa,2
"(u'l', u'ah')",iy,4
"(u'd', u'er')",aw,2
"(u'eh', u's')",m,2
"(u'uw', u'hh')",z,2
"(u'n', u'r')",ih,2
"(u'ae', u'hh')",v,1
"(u'uw', u'ae')",dh,8
"(u'n', u's')",el,3
"(u'k', u'r')",ow,3
"(u'z', u'ah')",t,2
"(u'm', u'k')",ey,4
"(u'er', u'ah')",z,1
"(u's', u'dh')",t,8
"(u'uh', u'iy')",d,2
"(u'er', u'aa')",b,2
"(u't', u'eh')",uw,2
"(u's', u'uw')",d,1
"(u'd', u'ow')",g,4
"(u'iy', u'iy')",b,1
"(u'v', u'g')",ih,1
"(u'ow', u'ay')",d,1
"(u'ay', u'aa')",th,1
"(u'ey', u'ey')",d,1
"(u'k', u't')",ah,2
"(u'uh', u'en')",d,1
"(u'el', u'hh')",d,2
"(u'eh', u't')",t,5
"(u'r', u'ae')",n,1
"(u'd', u'v')",ey,2
"(u'n', u'ay')",z,3
"(u'ae', u'ch')",t,5
"(u'iy', u'uh')",g,2
"(u't', u'l')",ay,1
"(u'z', u'eh')",r,2
"(u'n', u'w')",ah,2
"(u'm', u'ah')",jh,3
"(u'oy', u'ow')",g,1
"(u'n', u'd')",ow,1
"(u'ah', u'm')",v,1
"(u'w', u'th')",ih,43
"(u'm', u'v')",ah,1
"(u'n', u't')",t,6
"(u'iy', u'uw')",p,1
"(u'ch', u'ey')",b,1
"(u's', u'm')",ey,4
"(u'ey', u'z')",n,2
"(u'ih', u'r')",n,1
"(u't', u'ih')",b,5
"(u'aw', u'eh')",b,1
"(u'ah', u'ae')",s,2
"(u't', u'k')",eh,2
"(u'ch', u'ow')",m,2
"(u'uw', u'iy')",dh,14
"(u'uw', u'uw')",ch,1
"(u'ow', u'ih')",l,2
"(u'er', u'r')",p,1
"(u'd', u'g')",ah,2
"(u'em', u'em')",hh,3
"(u't', u'k')",aa,8
"(u'ih', u'ey')",ng,1
"(u'ah', u'l')",t,1
"(u't', u'ey')",l,3
"(u't', u'g')",s,4
"(u'ng', u'uh')",g,2
"(u'p', u'iy')",r,1
"(u'iy', u'b')",k,2
"(u'ey', u't')",ih,3
"(u'd', u'ah')",d,2
"(u's', u't')",ah,1
"(u'er', u'ow')",jh,2
"(u't', u'n')",eh,9
"(u'm', u'n')",eh,5
"(u'n', u'iy')",p,3
"(u'r', u'd')",iy,16
"(u's', u'aa')",t,10
"(u'hh', u'uw')",y,2
"(u'd', u'p')",ay,2
"(u'ih', u'm')",z,3
"(u'n', u'w')",aw,3
"(u'r', u'm')",ah,15
"(u'd', u'hh')",z,2
"(u'n', u's')",d,9
"(u't', u'ey')",r,2
"(u'n', u'er')",aw,1
"(u'z', u'ow')",s,9
"(u'ae', u'hh')",n,3
"(u'd', u'ey')",s,2
"(u'er', u'ow')",hh,1
"(u'm', u's')",ah,4
"(u'iy', u'ay')",t,4
"(u'ah', u'iy')",b,2
"(u'eh', u'ih')",l,3
"(u'ey', u'eh')",er,1
"(u'ah', u'uw')",t,2
"(u'ih', u'v')",n,2
"(u'r', u'iy')",n,2
"(u'el', u'ih')",d,2
"(u'd', u'n')",ih,11
"(u'ah', u'n')",g,3
"(u'r', u't')",ay,32
"(u'ch', u'iy')",hh,1
"(u'jh', u'ih')",uw,1
"(u'ah', u'ey')",d,4
"(u'el', u'uh')",f,1
"(u'r', u'eh')",hh,1
"(u'iy', u'l')",z,1
"(u'ih', u'ow')",ng,2
"(u'iy', u't')",s,9
"(u'ah', u'ae')",r,2
"(u'z', u'd')",ay,3
"(u'aw', u'uw')",t,4
