label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
w,-0.543988698985,-0.510252606413,0.355696817574,-0.946953265008,0.746480449356,-0.33543287488,-0.0812343012784,0.468909209649,-0.110054906175,0.343120790484,-0.680425299169,-0.803728124755,-0.0868752104337,0.432399162052,0.895850136781,0.440415255828,0.508001186894,-0.414173789502,0.125225322307,0.561414776937
ih,0.301510113503,0.537992454482,0.339608977457,-0.42617432781,0.24434196955,0.270971196998,-0.609368719496,0.658665105206,0.389969044578,-0.319502029015,0.805977368692,0.711080878522,0.772945458385,-0.36997061474,0.198191191072,0.136326811059,0.793883639036,0.332552445717,0.835265495647,-0.667306160214
ch,0.200880960011,0.25873545997,0.659360816524,0.34360431171,-0.619415715268,-0.479155401918,-0.312998680849,-0.554121402274,-0.471936741163,0.243460880703,-0.438514481781,-0.654654878691,0.271985681952,-0.498798916066,0.510180008246,0.400419580185,0.435997853636,0.518056812096,0.560331520461,0.532609386878
ey,0.488274458337,-0.298702610294,0.687575642599,-0.294512627876,0.658209411954,0.293347706274,-0.418972434723,0.462826205599,0.320338951082,-0.673322808035,0.230216535969,0.442842084013,0.304241059324,-0.449312680312,0.145155170816,0.61401131206,-0.977766702976,0.542556511972,-0.684453283237,-0.524754527836
aw,0.644494772233,0.00423093004662,0.673290143761,-0.740305716745,0.472875258356,-0.458597520616,0.0231738035077,0.253017078759,-0.27258973795,0.443958785963,-0.31970935282,0.602389939421,0.447177003987,0.365717403884,0.0902921667571,-0.677884271397,-0.496125870118,0.617661651454,0.515138474004,0.187126718534
ay,0.171499277085,-0.798986836337,0.643555627529,0.573919512308,-0.496000863365,-0.0415118423422,0.392349744546,0.664338803597,0.621117381108,0.128586731467,-0.294729213766,-0.418873669547,0.515131433136,0.12775355129,0.0948278402021,-0.692401513985,-0.0327928295253,0.677646866113,0.136639273954,-0.849793609025
zh,0.0867390316582,-0.189020518735,-0.154032869756,-0.0837803458506,-0.379815785285,-0.340955354891,-0.620505301415,-0.00751659031285,-0.460003059394,0.484591360041,0.448847789153,0.434282714106,-0.254011382628,-0.331905311047,-0.207900532245,-0.372036696773,-0.281239013477,-0.219403864933,-0.353321433024,0.330370367894
tq,0.158175891899,-0.565491433995,0.560677981006,0.0476920840829,-0.539524148024,-0.626486936678,0.0635372398769,0.174369632233,0.0453878356976,-0.485184858246,0.534933589634,-0.717463406489,-0.128643464801,-0.639370747218,-0.59854717979,0.733519854654,0.411666646987,-0.468217378979,-0.633452299086,-0.615258354965
er,-0.38580538413,0.169097336227,-0.630865595101,0.161090191397,0.521330615012,0.652600058209,0.303297367117,-0.0304680281858,0.446814533928,-0.766633088665,0.753733323852,-0.399236002919,0.441058426364,0.628789211654,-0.119098023058,0.847562332908,-0.427716499088,-0.568198991036,0.585733852527,-0.114308450088
#,0.0207557009299,-0.0589476283492,0.0794612399691,-0.0713978026357,-0.0590779334589,-0.0474258322994,-0.0663211503865,0.101319666076,-0.0234130397264,0.0468305232647,0.0499237425932,0.0421778420137,-0.0521623932795,0.0703976965769,0.0839480788742,0.033801560594,-0.0908895709518,-0.101269291902,0.0860529579668,-0.0228912026592
