label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
er,0.445590048927,-0.69617978161,-0.0138556478807,0.928363539412,0.786012153503,-0.508585645818,0.747492152272,-0.816690340515,0.633251065125,-0.805109763601,-0.519131524004,-0.22330683855,-0.0106327784825,0.712466559436,0.278550179759
#,0.6801599869,-0.880955698084,0.89911037159,-0.887897205431,-0.833414755394,-0.687311273667,0.940890292844,-0.897675361811,-0.929050536307,0.869043585493,0.78479444568,0.591446818331,0.850178301071,0.781288383569,0.88613104205
ng,0.901860682976,0.877533329276,0.396459756093,0.761978972365,0.680094619314,0.795376044319,0.744958275251,-0.652264411687,0.844118207229,0.343566904321,-0.50952841969,0.840327458629,-0.639436462918,-0.722360794912,0.642225212982
r,-0.644233675919,-0.290704416237,-0.0372884374583,0.976522575367,-0.858647635234,0.560114820939,-0.223165566407,-0.732225386745,0.688347824655,-0.205932367555,0.310024564349,-0.768351754753,-0.75274046565,-0.597693588261,0.742548666354
th,0.532510820079,0.394943738309,0.590105964787,-0.176404733618,0.65318024233,0.743454590316,-0.603816115114,0.61984749733,0.268564028894,0.359619233521,-0.21485613524,0.521360669464,0.150857584839,-0.503563946906,0.0177884726548
t,0.710051171127,0.868369526545,0.533762917854,0.944250093146,-0.824679462822,-0.477197202767,-0.852034155728,0.791672688264,0.917631676751,0.563423587429,-0.631139472022,0.604271356004,0.451392751196,0.731499643834,-0.237040614175
<,0.278913354077,-0.281786655555,0.372649751658,0.0758892073273,-0.182122920924,0.230192933393,0.0297217479059,-0.23441447869,-0.284191614773,-0.0508313097188,-0.109141563999,0.0843831228019,0.0456441187381,0.0540469342167,0.31823631665
>,0.210057142724,-0.299794661683,0.131323754338,0.0373889423049,-0.151777805488,0.312624203736,-0.0358703919555,-0.0624595330409,-0.341532125893,0.00147476000257,0.151745455132,0.183234046617,0.0811084779601,0.0542500340643,0.328354335748
w,-0.55100100594,-0.580192643723,-0.726688444742,-0.0420734798317,-0.707478271652,0.538038466612,-0.813422614107,0.790797742763,-0.584018283695,0.251687759767,0.441212850809,0.586852491092,0.685388935453,-0.211711086215,0.334433335051
dh,-0.862666565537,0.699880625545,0.52329138787,0.228856536156,-0.803411940365,-0.685441009027,-0.835859498646,0.901515493124,-0.587499871735,-0.657851455771,0.743833033057,-0.540317127733,0.768882492713,-0.773784541411,0.653777809123
y,0.304372424361,-0.58643121945,0.684292447559,-0.709821199165,-0.891448485752,-0.372841341883,-0.84460853539,0.722160610101,0.269260406528,-0.776915643743,-0.58980268687,-0.156217883079,-0.509696348772,-0.672093321902,0.240667470504
hh,-0.615275010951,-0.49995671204,0.970622484974,-0.882352045816,-0.521749146922,0.428158260081,-0.827556353792,0.0937891328704,0.417904526534,-0.83690828693,0.484964549102,0.707745118382,0.689755323709,-0.842629877826,0.780254493885
jh,0.1528674975,-0.254006648483,-0.0907564919827,0.621715552382,-0.509072254227,0.460389044916,-0.394331804396,0.767794439665,-0.431891895798,0.269652605761,-0.532768547978,0.495766331832,-0.190644415804,-0.449005208771,-0.041716411755
em,-0.588875268762,-0.626133620828,0.743125436797,0.189956570009,0.110941355427,-0.247821755598,0.476031524207,0.466599342432,0.133835595177,-0.636438586889,-0.627418641612,0.0110964196379,-0.421341809221,0.548778603201,-0.109216140066
b,-0.165345965929,-0.673855328175,0.713261029157,0.791928479351,0.410633567011,0.270147604532,-0.771270284924,0.730801175317,-0.15843164407,-0.0652551345196,0.574021753974,0.812928597366,0.656338819063,-0.578258235947,0.696362493173
d,0.699823782046,0.750490057997,0.908323931171,0.642189534055,-0.739255340445,0.533061324754,0.390095231922,0.479790727183,-0.735028992468,-0.520152376016,-0.804275694375,0.577994503125,0.722665228923,-0.980420607594,-0.922830658493
g,-0.600653213153,0.186292546989,0.564696986203,0.655268251891,-0.57684182817,0.669409957618,-0.529801825871,0.458052709693,-0.792176850981,0.567389639127,0.200705672867,0.641380719902,-0.507890519207,-0.342175215556,-0.561960705361
f,0.179113311574,0.741337914814,0.701065473295,0.256229485807,-0.0763085913541,0.556277832276,-0.395895465924,0.684435290395,-0.379406418549,0.0427896259132,0.311449314529,0.489046334814,-0.466773029343,-0.33616770913,0.508047386286
h,0.0141027546316,-0.105521950332,0.146368103761,-0.0690962371961,-0.0155493774248,0.185426898775,-0.060307504501,0.118088970963,-0.00696867670651,-0.176533192773,-0.0285929010559,0.123564927723,0.12841720266,-0.0758746700705,0.168166419034
k,0.620938477863,0.653980853713,0.685660226207,0.759418309856,0.157207899547,-0.440940548218,-0.798197830662,0.531890704006,-0.987196354462,-0.218160951783,-0.764236480956,0.458160283283,-0.791201083667,0.632562266892,0.708577576465
m,-0.569107339939,0.702586709838,0.216132306413,0.755572015325,-0.67363047604,0.555662379515,0.785297728801,0.381286675503,-0.660041351716,-0.633485582956,-0.234899899429,0.736678097906,0.246854174174,0.0705930339741,0.922108340095
l,-0.0954459077984,0.641785280735,-0.438340370863,0.253299165916,-0.698801127971,0.631920840187,-0.578527530334,-0.822213118851,-0.233936473671,-0.065306894834,-0.345149581249,-0.00543291197904,0.288203272422,-0.356710085311,0.634083950356
n,-0.857435606872,0.539478301829,0.513635922237,0.718869042656,0.688844178883,-0.562244816653,-0.349975605368,-0.841512848178,-0.296707816861,0.772258635406,-0.865621120848,0.556686314136,-0.109379222334,-0.713293183137,0.0499012158956
p,-0.0251636589798,0.689995735362,0.300389727823,0.610769325664,0.851487268279,0.568864759714,-0.963462793793,0.531644490018,-0.720758160989,0.380024917048,0.772940347408,0.386295414709,0.691886984692,0.0381953802669,0.502926016732
s,-0.240736728487,0.599066846145,-0.680486037526,0.372724337263,-0.58041271733,-0.731334710726,0.724706445174,0.718819216622,-0.127508801367,0.830732551985,0.178463714477,0.603420675443,-0.70687687576,-0.736492212092,0.674509414001
sh,0.727207589564,0.0391424526804,-0.464511173323,0.903565022113,-0.578297136935,0.187677882908,-0.737602053468,0.404158572582,-0.381252492218,-0.0775262264828,-0.361589563525,0.479342187274,-0.0724592281468,-0.674547234111,0.604651665905
uh,0.768274496103,-0.453684890647,-0.860960076382,-0.318566732456,0.595748409388,-0.548181358971,0.00969351517416,-0.719834744125,0.0845143219305,0.0295963818191,-0.0844950953579,-0.512423265203,0.0332528170809,-0.652043589664,-0.525634904374
oy,0.147844286422,-0.194945672384,-0.306657377318,0.068447137595,-0.104373335106,0.190372963786,0.212991380705,-0.30836557782,-0.0868988863034,-0.368595805251,-0.239181545881,-0.377415416064,0.10352849305,0.254153638585,-0.244852489358
v,-0.353739154808,0.512566138927,0.720795254312,0.591311986083,-0.0149464268745,0.63481657409,-0.416957551954,0.515817789224,-0.966384801723,0.594828605233,-0.593829094889,-0.470033497433,0.336003791994,-0.35904150371,-0.100476481561
ow,0.715627108172,0.209665652416,0.280488087232,-0.350003593909,0.351500097496,0.466545198508,0.514596500886,0.544046526357,0.925173976513,-0.714045417717,0.564698659104,-0.68459805672,-0.248511485937,0.57263976633,-0.737637485219
z,0.507259445044,0.0332468556866,0.943266791221,0.271156543646,0.477486827738,0.505306066271,0.602024399671,0.121804176821,-0.526282385054,0.796054200991,-0.808321979492,-0.549809804383,0.334430501498,-0.536658149327,0.770181684012
uw,-0.0840242855928,-0.622456442792,-0.79321042065,0.725123524757,0.632128321275,0.617858438275,0.908302748352,0.531278562108,0.740396660738,0.876026735129,0.726673648544,-0.850410154662,0.527471492178,0.563368244244,-0.846523128268
